振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
岩倉建材(株),R3・12・20,R4・4・20,北洋銀行豊平支店,986820,,
潮産業(株),R3・12・28,R4・4・30,北洋銀行五稜郭公園支店,923122,,
ホクセイ商事(株),R4・1・17,R4・4・30,北洋銀行千歳中央支店,914078,,
〃,R4・3・15,R4・6・30,北洋銀行千歳中央支店,871398,,
〃,R4・2・15,R4・5・31,北洋銀行千歳中央支店,852258,,
(株)銘林,R4・3・18,R4・7・25,帯広信用金庫本店支店,840833,,
(株)カナモリ商事,R3・11・30,R4・4・5,北洋銀行新発寒支店支店,815305,,
(株)マタサカ,R4・3・31,R4・7・20,北洋銀行清田区役所前支店,805000,,
潮産業(株),R4・1・31,R4・5・31,北洋銀行五稜郭公園支店,800000,,
(株)丸昇八田,R4・3・31,R4・7・20,北洋銀行豊平支店,800000,,
相互建材工業(株),R4・2・15,R4・5・5,北洋銀行恵庭中央支店,795410,,
晃和住宅(株),R4・1・31,R4・5・31,北洋銀行手稲中央支店,711901,,
渡辺食品機械(株),R4・3・7,R4・4・30,北海道銀行創成支店,651457,,
(株)マツウラ,R4・1・31,R4・5・31,北洋銀行豊平支店,632517,,
平口建設(株),R4・1・17,R4・4・25,伊達信用金庫本店支店,600000,,
晃和住宅(株),R4・3・31,R4・7・31,北洋銀行手稲中央支店,555422,,
(株)若原建築工業,R4・2・4,R4・6・1,北洋銀行北郷支店,550000,,
(株)竹生家具興業,R4・1・31,R4・5・31,北央信用組合菊水支店,523989,,
ナカ工業(株)札幌工場,R4・3・15,R4・5・31,三菱UFJ銀行京橋支店,522278,,
岩倉建材(株),R4・1・20,R4・5・20,北洋銀行豊平支店,501843,,
(株)丸昇八田,R4・2・28,R4・6・20,北洋銀行豊平支店,500000,,
(株)中山,R4・3・15,R4・5・31,北洋銀行本店営業部支店,476171,,
LIXILグループファイナンス(株),R4・1・17,R4・4・30,三井住友銀行東京中央支店,444715,,
計,,,,,,
