振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
共和コンクリート工業(株),4・5・31,4・10・5,みずほ銀行,札幌支店,"1,472,350",きらやか銀行荒砥支店,シンコー通商(株)
同上,4・5・31,4・10・5,同上,同上,"905,358",同上,同上
(株)手塚建材,4・5・31,4・10・10,山形中央信用組合,本店営業部,"681,596",同上,
池田東北(株),4・5・31,4・10・31,東邦銀行,鏡石支店,"2,526,128",同上,シンコー通商(株)
(有)マルタカ商事,4・6・15,4・10・10,山形中央信用組合,本店営業部,"1,297,321",同上,(株)大建工業
沼田コンクリート工業(株),4・6・20,4・10・31,きらやか銀行,新庄支店,"1,041,904",同上,
橋爪商事(株),4・6・21,4・10・4,岩手銀行,大船渡支店,"1,690,502",同上,シンコー通商(株)
山形建設(株),4・6・30,4・10・11,山形銀行,本店営業部,"554,000",商工中金山形支店,
日建工学(株),4・6・30,4・10・31,三菱UEJ銀行,新宿新都心支店,"860,427",きらやか銀行荒砥支店,
(株)畑山,4・6・30,4・10・31,鶴岡信金,若竹町支店,"2,445,190",同上,
吾妻建設(株),4・6・30,4・10・31,山形銀行,新庄支店,"116,336",同上,
三省水工(株),4・7・4,4・10・5,みずほ銀行,渋谷中央支店,"5,000,000",同上,
同上,4・7・4,4・10・5,同上,同上,"1,140,816",同上,
(株)坂内セメント工業所,4・7・10,4・11・10,東邦銀行,原町支店,"413,820",同上,
丸吉コンクリート工業(株),4・7・11,4・11・5,山形銀行,荒砥支店,"888,206",同上,
大東建設(株),4・7・11,4・11・10,きらやか銀行,宮宿支店,"2,166,780",同上,
山形建設(株),4・7・15,4・10・11,山形銀行,本店営業部,"2,000,000",同上,(株)大建工業
同上,4・7・15,4・10・11,同上,同上,"1,960,000",同上,同上
仮設機材工業(株),4・7・15,4・11・10,同上,酒田支店,"503,250",同上,
阿部コンクリート(株),4・7・15,4・11・15,きらやか銀行,余目支店,"937,563",同上,
前田製管(株),4・7・20,4・11・20,商工中金,酒田支店,"4,626,127",同上,
沼田コンクリート工業(株),4・7・20,4・11・30,きらやか銀行,新庄支店,"313,440",同上,
小計,,,,,"33,541,114",,
合計,,,,,,,
