"振出人","振出年月日","支払期日","支払銀行名称・支店名","金額","割引銀行名及び支店名等","摘要"
"ダイヤ冷ケース(株)","令4・12・31","令5・5・5","三菱UFJ銀行世田谷支店","1393150","",""
"東和産業(株)","令4・12・27","令5・4・30","三菱UFJ銀行中目黒支店","1434840","",""
"(株)千代田組","令4・12・28","令5・4・30","三井住友銀行本店営業部","1217920","",""
"タニコー(株)","令4・12・31","令5・4・30","りそな銀行渋谷支店","567710","",""
"中山エンジニヤリング(株)","令5・1・5","令5・5・6","埼玉りそな銀行戸田支店","5000000","",""
"中山エンジニアリング(株)","令5・1・5","令5・5・6","埼玉りそな銀行戸田支店","2260000","",""
"三森商事(株)","令5・1・20","令5・5・25","三菱UFJ銀行巣鴨支店","3000000","",""
"三森商事(株)","令5・1・20","令5・5・25","三井住友銀行本店営業部","990470","",""
"ダイヤ冷ケース(株)","令5・1・31","令5・6・5","三菱UFJ銀行世田谷支店","1105060","",""
"(株)千代田組","令5・1・31","令5・5・31","三井住友銀行本店営業部","1217920","",""
"タカギン冷機(株)","令5・1・31","令5・5・31","三井住友銀行千住支店","3300000","",""
"中山エンジニアリング(株)","令5・2・6","令5・6・5","埼玉りそな銀行戸田支店","10000000","",""
"中山エンジニアリング(株)","令5・2・6","令5・6・5","埼玉りそな銀行戸田支店","1022000","",""
"朝日産業(株)","令5・2・20","令5・5・31","三菱UFJ銀行雷門支店","250000","",""
"三森商事(株)","令5・2・20","令5・6・25","三菱UFJ銀行巣鴨支店","2420770","",""
"(株)千代田組","令5・2・28","令5・6・30","三井住友銀行本店営業部","1631520","",""
"東和産業(株)","令5・2・28","令5・6・30","三菱UFJ銀行中目黒支店","453200","",""
"ダイヤ冷ケース(株)","令5・2・28","令5・7・5","三菱UFJ銀行世田谷支店","979660","",""
"中山エンジニアリング(株)","令5・3・6","令5・7・5","埼玉りそな銀行戸田支店","5000000","",""
"中山エンジニアリング(株)","令5・3・6","令5・7・5","埼玉りそな銀行戸田支店","1430600","",""
"三森商事(株)","令5・3・20","令5・7・25","三菱UFJ銀行巣鴨支店","2379630","",""
"東和産業(株)","令5・3・31","令5・7・31","三菱UFJ銀行中目黒支店","1501500","",""
"ダイヤ冷ケース(株)","令5・3・31","令5・8・5","三菱UFJ銀行世田谷支店","1137400","",""
"タニコー(株)","令5・3・31","令5・7・31","りそな銀行渋谷支店","242440","",""
"(株)千代田組","令5・3・31","令5・7・31","三井住友銀行本店営業部","1240800","",""
"チバ製作所","令5・3・27","令5・6・15","りそな銀行豊中服部支店","113000","",""
"チバ製作所","令5・3・27","令5・5・31","北國銀行犀川中央支店","100000","",""
"計","","","","","",""
