"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"(株)DNPエス・ピー・テック","R 5・ 2・24","R 5・ 6・13","","519750","",""
"ザ・パック(株)","R 5・ 4・28","R 5・ 8・10","","1027884","",""
"(株)ベルベ","R 5・ 3・15","R 5・ 5・22","","661672","",""
"(株)井上商店","R 5・ 2・20","R 5・ 5・22","","197677","",""
"〃","R 5・ 3・20","R 5・ 6・20","","162247","",""
"鯨岡産業(株)","R 5・ 4・10","R 5・ 7・10","","339900","",""
"(株)高春堂","R 5・ 4・25","R 5・ 7・10","","438900","",""
"(株)ヒロモリ","R 5・ 4・30","R 5・ 8・10","","518650","",""
"ネクスタ(株)","R 5・ 1・15","R 5・ 5・ 1","","887040","",""
"","","","電子記録債権計","4753720","",""
"ザ・パック(株)","R 5・ 1・31","R 5・ 5・10","","1615482","",""
"〃","R 5・ 2・28","R 5・ 6・ 9","","4152214","",""
"〃","R 5・ 2・28","R 5・ 6・12","","374000","",""
"〃","R 5・ 3・31","R 5・ 7・10","","6442821","",""
"","","","割引電子記録債権計","12584517","",""
"計","","","","37968460","",""
