"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)前山鐵工所","4.12.5","5.4.5","","","1425720","",""
"アドバンエンジ(株)","4.12.10","5.4.10","","","595970","",""
"(株)粉研パウテックス","4.12.15","5.4.15","","","198000","",""
"(株)吉田溶接工業所","4.12.20","5.4.25","","","143000","",""
"北日本物産(株)","4.12.20","5.4.10","","","153481","",""
"(株)北陸精機","4.12.20","5.4.30","","","420200","",""
"日本鏡板工業(株)","4.12.28","5.4.30","","","476300","",""
"(株)カナモト","4.12.28","5.4.30","","","460160","",""
"城西物流倉庫(株)","4.12.29","5.4.25","","","715000","",""
"共和コンクリート工業(株)","4.12.31","5.4.30","","","220000","",""
"(株)田和通商","5.1.5","5.5.10","","","862400","",""
"(株)前山鐵工所","5.1.10","5.5.10","","","2379760","",""
"(株)エヌティシィー","5.1.10","5.4.30","","","290000","",""
"(株)前山鐵工所","5.1.10","5.5.10","","","1826000","",""
"アドバンエンジ(株)","5.1.10","5.5.10","","","2830550","",""
"(株)粉研パウテックス","5.5.15","5.5.15","","","1560420","",""
"北日本物産(株)","5.1.20","5.5.10","","","279981","",""
"(株)北陸精機","5.1.20","5.5.31","","","795300","",""
"(株)ヤナギヤ","5.1.25","5.5.31","","","1436196","",""
"(株)イタヤ","5.1.31","5.5.25","","","437800","",""
"共和コンクリート工業(株)","5.1.31","5.5.31","","","441936","",""
"内山城南コンクリート工業(株)","5.1.25","5.6.5","","","502700","",""
"(株)カナモト","5.1.31","5.5.31","","","247390","",""
"計","","","","","","",""
