振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)パパス,5.9.5,6.1.5,,,415039,,
(株)パパス,5.8.4,5.12.5,,,397013,,
(株)パパス,5.7.5,5.11.3,,,489803,,
(株)パパス,5.6.5,5.10.5,,,299701,,
(株)ヨシムラE.N.G,5.9.10,6.1.10,,,2000000,,
(株)大日商会,5.7.10,5.11.10,,,111169,,
ミナト医科学(株),5.9.11,5.12.20,,,925760,,
ミナト医科学(株),5.810,5.11.20,,,1434807,,
ミナト医医科学(株),5.7.10,5.10.20,,,1325346,,
(株)西田秀鉄工所,5.9.15,6.1.15,,,597291,,
(株)西田秀鉄工所,5.8.15,5.12.15,,,543067,,
(株)西田秀鉄工所,5.7.14,5.11.15,,,2359118,,
(株)西田秀鉄工所,5.6.16,5.10.16,,,366081,,
(株)辰巳エヤーエンジニアリング,5.8.17,5.12.31,,,688853,,
(株)木田鉄工所,5.9.20,5.12.20,,,1416437,,
(株)木田鉄工所,5.8.20,5.11.20,,,3034719,,
(株)木田鉄工所,5.7.20,5.10.20,,,4220929,,
(株)マルイ,5.9.20,5.12.25,,,652181,,
(株)ベルパック,5.9.20,6.1.31,,,374066,,
(有)アイエス産業,5.9.20,6.1.25,,,342433,,
常盤ステンレス工業(株),5.9.21,6.1.5,,,1183683,,
常盤ステンレス工業(株),5.8.25,5.1.25,,,1162279,,
(株)勝田製作所,5.9.25,6.1.28,,,1365000,,
合計,,,,,,,
