"振出人","振出年月日","支払期日","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)日栄商事","R5.5.20","R5.9.10","","155430","",""
"〃","R5.5.20","R5.9.16","","219695","",""
"〃","R5.6.20","R5.10.25","","401980","",""
"ツタイ工業(株)","R5.6.20","R5.10.20","","161354","",""
"岩谷マテリアル(株)","R5.6.30","R5.9.30","","223740","",""
"フェザー安全剃刀(株)","R5.7.10","R5.9.11","","5000000","",""
"〃","R5.7.10","R5.9.11","","2206913","",""
"岐阜プラスチック工業(株)","R5.7.18","R5.11.3","","116396","",""
"ツタイ工業(株)","R5.7.21","R5.11.20","","443572","",""
"フェザー安全剃刀(株)","R5.8.10","R5.10.10","","1677935","",""
"岐阜プラスチック工業(株)","R5.8.15","R5.12.11","","126516","",""
"ツタイ工業(株)","R5.8.21","R5.12.20","","444166","",""
"フェザー安全剃刀(株)","R5.8.10","R5.10.10","","5000000","","割引手形"
"受取手形計","","","","16177697","",""
"計","","","","16177697","",""
