"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"T4360001009918","沖縄シャーリング(株)","R6.2.16","R6.6.10","沖縄銀行本店営業部","","1610829","",""
"","ビー・ゼイ工事(株)","R6.2.16","R6.6.10","沖縄銀行高橋支店","","2162542","",""
"T5370201003297","(株)宮城ビルテック","R6.2.16","R6.6.10","七十七銀行若柳支店","","556188","",""
"T6360001001170","(株)真力","R6.2.29","R6.6.10","沖縄銀行首里支店","","5000000","",""
"T6360001001170","(株)真力","R6.2.29","R6.6.10","沖縄銀行首里支店","","109531","",""
"T3360002007293","(有)なか総合金物商会","R6.2.29","R6.6.10","沖縄銀行古波蔵支店","","310000","",""
"T3360002007293","(有)なか総合金物商会","R6.2.29","R6.6.10","琉球銀行安波茶支店","","3000000","",""
"","丸高商事","R6.3.25","R6.6.10","沖縄銀行石垣出張所","","192364","",""
"T3360002007293","(有)なか総合金物商会","R6.2.29","R6.6.15","沖縄銀行内間支店","","1500000","",""
"","松知総業","R6.2.29","R6.6.15","商工組合中央金庫池袋支店","","327920","",""
"T8360001008437","(株)一心堂","R6.3.25","R6.6.15","沖縄銀行内間支店","","1215009","",""
"T1360001008757","(株)グリーンツールセンター","R6.3.25","R6.6.15","沖縄銀行新都心支店","","1446057","",""
"","屋富祖金物店","R6.3.29","R6.6.15","沖縄銀行内間支店","","1320000","",""
"","三星商事(株)","R6.2.16","R6.6.20","三菱UFJ銀行大阪営業部","","337370","",""
"T5010001034958","ユアサ商事(株)","R6.2.29","R6.6.20","三井住友銀行人形町支店","","234960","",""
"","(有)長堂建材店","R6.3.6","R6.6.20","沖縄海邦銀行てだこ支店","","482823","",""
"T4360001023365","玉城組","R6.3.29","R6.6.24","沖縄銀行嘉手納支店","","1050000","",""
"T4360001008812","(株)佐久本工機","R6.2.29","R6.6.25","琉球銀行浦添支店","","3000000","",""
"T4360001008812","(株)佐久本工機","R6.2.29","R6.6.25","琉球銀行浦添支店","","440291","",""
"T2390001002293","(株)吉田金物店","R6.3.25","R6.6.25","きらやか銀行本店営業部","","319505","",""
"","宜野湾市管工事(協)","R6.2.29","R6.6.27","沖縄海邦銀行大謝名支店","","534859","",""
"","福岡フォームタイ(株)","R6.3.6","R6.6.27","西日本シティ銀行比恵支店","","225500","",""
"","ビー・ゼイ工事(株)","R6.3.25","R6.6.27","沖縄銀行本店営業部","","346500","",""
"計","","","","","","","",""
