"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)橋尾スポーツ","5.6.7","5.9.6","鳥取","本店","2000000","",""
"(株)橋尾スポーツ","5.5.8","5.8.6","鳥取","本店","1000000","",""
"双葉産業(株)","5.6.6","5.8.31","京都中央信金","石田","5000000","",""
"双葉産業(株)","5.7.5","5.9.29","京都中央信金","石田","5000000","",""
"双葉産業(株)","5.6.6","5.8.31","京都中央信金","石田","1114064","",""
"双葉産業(株)","5.6.6","5.8.31","京都中央信金","石田","1015608","",""
"双葉産業(株)","5.7.5","5.9.29","京都中央信金","石田","324561","",""
"(有)稲井洋品店","5.5.15","5.8.28","伊予","新居浜","4837349","",""
"帝人フロンティア(株)","5.6.20","5.8.18","三菱UFJ","大阪","4585955","",""
"帝人フロンティア(株)","5.7.20","5.9.20","三菱UFJ","大阪","495907","",""
"あかさか商事(有)","5.6.7","5.8.31","西日本シティ","日の里","4494279","",""
"あかさか商事(有)","5.7.19","5.8.31","西日本シティ","日の里","2000000","",""
"日繊産業(株)","5.5.15","5.8.31","山口","山の田","4294818","山陰合同岡山",""
"日繊産業(株)","5.6.15","5.9.30","山口","山の田","890482","",""
"日繊産業(株)","5.7.15","5.10.31","山口","山の田","689282","",""
"(有)大間制服部","5.5.29","5.9.30","西日本シティ","佐賀","4138228","",""
"(有)大間制服部","5.4.27","5.8.31","西日本シティ","佐賀","2297252","",""
"(有)大間制服部","5.6.27","5.10.31","西日本シティ","佐賀","1007232","",""
"しみず&CAMPUS","5.5.10","5.8.10","伊予","八幡浜","3413553","",""
"(株)丸福","5.6.12","5.8.10","三井住友","長田","3323430","",""
"(株)丸福","5.7.11","5.9.10","三井住友","長田","298540","",""
"ノノヤマ洋服株式会社","5.5.10","5.8.31","豊田信金","高岡","3000000","",""
"ノノヤマ洋服株式会社","5.6.10","5.9.30","豊田信金","高岡","1589023","",""
"計","","","","","","",""
