振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
東洋アルチタイト産業(株),R4.3.31,R4.7.31,〃,,110849,,
北部プラント工業(株),R4.2.5,R4.5.25,北洋銀行,手稲中央,1576806,,
山田(株),R4.2.25,R4.5.31,りそな銀行,横浜,1180436,,
〃,R4.2.25,R4.5.31,〃,,5000000,,
〃,R4.2.25,R4.5.31,〃,,5000000,,
〃,R4.3.25,R4.6.30,〃,,1600000,,
〃,R4.3.25,R4.6.30,〃,,1627343,,
〃,R4.3.25,R4.6.30,〃,,10000000,,
〃,R4.4.25,R4.7.31,〃,,744162,,
(株)マルトシ機工,R4.5.8,R4.5.31,北海道銀行,札苗,110000,,
石巻合板工業(株),R4.1.31,R4.5.31,七十七銀行,,3000000,,
北斗重工(株),R4.3.8,R4.6.5,北海道銀行,,1718079,,
ナイガイ(株),R4.3.31,R4.6.27,みずほ銀行,,527120,,
(株)中令,R4.3.31,R4.6.30,広島銀行,,1450000,,
(株)青木空調工業,R4.3.31,R4.7.10,西日本シティ銀行,,165000,,
山陰水道工業(株),R4.3.31,R4.7.20,山陰合同銀行,,500000,,
その他27枚,,,,,140985322,,
計,,,,,320918565,,
