振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)若柳タムラ製作所,4.11.30,5.3.31,,,1217953,,
ジャパン・イーエムソリューションズ(株),4.12.13,5.4.14,,,2329525,,
(株)富士通ゼネラル,4.12.20,5.4.20,,,1459896,,
(株)幸大ハイテック,4.12.23,5.3.31,みずほ銀行,丸の内支店,407000,,BD041622
ケイテック(株),4.12.26,5.3.31,,,1507068,,
神田工業(株),4.12.30,5.4.1,,,584100,,
(株)若柳タムラ製作所,4.12.30,5.4.30,,,1285900,,
ジャパン・イーエムソリューションズ(株),5.1.12,5.5.15,,,7979290,,
(株)富士通ゼネラル,5.1.20,5.5.19,,,1543730,,
富士通コンポーネント(株),5.1.25,5.5.25,,,1633609,,
ケイテック(株),5.1.25,5.4.28,,,1809518,,
サクサテクノ(株),5.1.31,5.5.31,山形銀行,金池支店,206658,,CB63607
(株)若柳タムラ製作所,5.1.31,5.5.31,,,1658836,,
ジャパン・イーエムソリューションズ(株),5.2.15,5.6.15,,,2468400,,
(株)富士通ゼネラル,5.2.20,5.6.20,,,757579,,
東栄電機(株),5.2.21,5.5.22,,,300300,,
ミカサ商事(株),5.2.28,5.6.30,,,2979460,,
(株)幸大ハイテック,5.2.24,5.5.31,みずほ銀行,丸の内支店,610500,,BD041654
(株)エムエスイ,5.2.28,5.6.30,三菱UFJ銀行,大阪中央支店,2504700,,TH86344
富士通コンポーネント(株),5.2.25,5.6.25,,,1242801,,
ケイテック(株),5.2.27,5.5.31,,,1568767,,
サクサテクノ(株),5.2.28,5.6.30,山形銀行,金池支店,4082254,,CB64112
(株)若柳タムラ製作所,5.2.28,5.6.30,,,1166708,,
合計,,,,,,,
