"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"日鋳商事株式会社","5.5.31","5.10.5","埼玉りそな銀行","北浦和支店","427170","","電子記録債権"
"株式会社古島","5.6.12","5.10.10","三菱UFJ銀行","新富町支店","103400","","電子記録債権"
"株式会社ハズ","5.6.20","5.10.17","十六銀行","碧南支店","2435106","","電子記録債権"
"大成機工インターナショナル","5.6.20","5.10.20","三菱UFJ銀行","梅田中央支店","54794080","","電子記録債権"
"株式会社トシマ","5.6.12","5.10.25","三菱UFJ銀行","駒込支店","286529","","電子記録憤権"
"ヤマトガワ株式会社","5.6.20","5.10.31","三井住友銀行","難波支店","480175","","電子記録債権"
"ジャパンライフ株式会社","5.6.30","5.10.31","三井住友銀行","新小岩支店","5565230","","電子記録債権"
"日本鋳鉄管株式会社","5.6.30","5.10.31","三菱UFJ銀行","八重洲通支店","2195820","","電子記録債権"
"日本ヴィクトリック株式会社","5.6.30","5.10.31","三菱UFJ銀行","日比谷支店","755392","","電子記録債権"
"株式会社コスモプロダクト","5.6.30","5.10.31","秋田銀行","土崎支店","996600","","電子記録債権"
"冨士機材株式会社","5.6.20","5.1.11","三菱UFJ銀行","新富町支店","3285118","","電子記録債権"
"渡辺パイプ株式会社","5.6.26","5.1.11","三井住友銀行","東京中央支店","2699057","","電子記録債権"
"株式会社フソウ","5.5.31","5.11.5","百十四銀行","本店営業部","209631","","電子記録債権"
"株式会社フソウ","5.6.30","5.12.5","百十四銀行","本店営業部","852113","","電子記録債権"
"小計","","","","","348555889","",""
"計","","","","","382220910","",""
