振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
イヅミ商事(株),4・8・24,4・12・20,八十二銀行,名古屋支店,"1,530,474",きらやか銀行荒砥支店,シンコー通商(株)
日建工学(株),4・8・31,4・10・31,三菱UFJ銀行,新宿新都心支店,"1,075,448",同上,
嶋工建設(株),4・8・31,4・11・30,秋田銀行,鹿渡支店,"2,532,442",同上,シンコー通商(株)
山形建設(株),4・8・31,4・12・12,山形銀行,本店営業部,"1,552,000",商工中金山形支居,
日建工学(株),4・8・31,4・12・31,三菱UFJ銀行,新宿新都心支店,"10,000,000",きらやか銀行荒笹砥支店,
高橋土建(株),4・8・31,4・12・31,北越銀行,中条支店,"198,660",同上,
(株)畑山,4・8・31,4・12・31,鶴岡信用金庫,若竹町支店,"4,619,629",同上,
日建工学(株),4・8・31,4・12・31,三菱UFJ銀行,新宿新都心支店,"2,809,386",同上,
同上,4・8・31,4・12・31,同上,同上,"10,000,000",同上,シンコー通商(株)
共和コンクリート工業(株),4・8・31,5・1・5,みずほ銀行,札幌支店,"2,136,640",同上,
同上,4・8・31,5・1・5,同上,同上,"738,397",同上,
小笠原建設(株),4・9・1,4・11・30,きらやか銀行,長井支店,"2,000,000",同上,(株)TMC
同上,4・9・1,4・11・30,同上,同上,"1,000,000",同上,同上
樋口建設(株),4・9・5,4・11・30,山形銀行,同上,"1,235,524",同上,9/25(株)黒沢技建
三省水工(株),4・9・5,4・12・5,みずほ銀行,渋谷中央支店,"902,176",同上,9/25
日本道路(株),4・9・9,4・12・9,同上,内幸町営業部,"1,092,095",同上,
丸吉コンクリ工業(株),4・9・12,5・1・15,山形銀行,荒砥支店,"1,680,910",同上,
小国開発,4・9・12,5・1・15,同上,小国支店,"881,389",同上,
(株)宮本商店,4・9・15,5・1・15,同上,みずほ支店,"768,427",同上,
(株)藤島建設,4・9・20,5・1・31,同上,小松支店,"992,000",同上,
(株)米沢マ工タ,4・9・20,5・1・31,荘内銀行,酒田中央支店,"1,190,585",同上,
(株)竹中道路,4・9・21,4・11・21,みずほ銀行,内幸町支店,"1,292,000",同上,シンコー通商(株)
小計,,,,,"50,228,182",,
合計,,,,,,,
