振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
山一化成(株),5.03.31,5.06.30,りそな／東大阪,,"177,320",,(株)フレックスシステム
〃,5.03.31,5.07.15,三菱／蓮田,,"1,046,172",,
日吉化学工業(株),5.02.28,5.06.28,商工中金／本店営業部,,"5,000,000",,ノガワケミカル(株)
〃,5.02.28,5.06.05,湘南信金／茅ヶ崎営業部,,"3,000,000",,
〃,5.02.28,5.06.05,湘南信金／茅ヶ崎営業部,,"295,738",,
日本金属(株),5.02.27,5.06.05,みずほ／大手町営業部,,"393,294",,
荏原冷熱システム(株),5.02.27,5.06.30,みずほ／内幸町営業部,,"711,392",,
トーア実業(株),5.02.28,5.07.05,広島／銀山町,,"5,000,000",,東亜熱研(株)
〃,5.03.31,5.08.05,広島／銀山町,,"5,000,000",,東亜熱研(株)
〃,5.03.31,5.08.05,広島／銀山町,,"5,000,000",,東亜熱研(株)
〃,5.03.31,5.08.05,広島／銀山町,,"1,340,708",,東亜熱研(株)
中国紙工業(株),5.02.20,5.07.15,中国／尾道駅前,,"334,290",,
日本表面化学(株),5.03.27,5.06.21,三菱／蒲田駅前,,"1,520,748",,(株)三松
〃,5.03.27,5.06.30,三条信金／本店,,"4,928,462",,(株)笠原商店
〃,5.03.27,5.07.06,きらぼし／淵野辺,,"1,381,556",,旭電化工業(株)
(株)永廣堂本店,5.03.30,5.06.30,三菱／新大阪北,,"1,511,312",,
大宮糧食工業(株),5.03.09,5.06.10,三井／都立大学駅前,,"3,582,810",,
コウシン化学工業(株),5.03.09,5.06.10,きらぼし／大泉学園前,,"5,000,000",,
ダイヤ製薬(株),5.03.13,5.07.15,南都／坊城,,"371,800",,
ユニ工業(株),5.03.16,5.07.05,横浜／本店営業部,,"408,155",,
,,,,,"46,003,757",,
合計,,,,,"101,637,090",,
