"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"リョーキ営業統括本部","5.2.20","5.6.30","広島銀行","横川支店","199301","",""
"同上","5.4.20","5.8.31","同上","同上","504716","",""
"日本通信紙広島","5.3.31","5.7.31","みずほ銀行","銀座中央支店","7197746","",""
"同上","5.4.28","5.8.31","同上","同上","2736206","",""
"DNPデータテクノ","5.3.24","5.7.5","同上","市ヶ谷支店","374308","",""
"同上","5.4.24","5.8.7","同上","同上","427548","",""
"トッパンインフォ本社","5.4.3","5.7.10","三菱UFJ銀行","本店","2009260","",""
"テンタック","5.3.31","5.7.31","同上","本所","674828","",""
"同上","5.4.28","5.8.31","同上","同上","750200","",""
"サンテック","5.3.31","5.7.31","同上","尼崎駅前支店","1807619","",""
"同上","5.4.28","5.8.31","同上","同上","2730585","",""
"パール工業(株)","5.4.3","5.7.31","同上","堺支店","278446","",""
"シーネット","5.3.28","5.7.31","伊予銀行","川之江支店","230098","",""
"ワイエイシイガーター","5.3.31","5.7.10","西武信金","三ツ原支店","300960","",""
"同上","5.4.28","5.8.10","同上","同上","326040","",""
"(株)チューチク","5.3.20","5.6.30","広島銀行","広島西支店","334950","",""
"同上","5.4.20","5.7.31","同上","同上","190080","",""
"ナカバヤシ(株)大阪本社","5.4.20","5.8.10","りそな銀行","大阪営業部","444950","",""
"計","","","","","21517841","",""
"手持手形計","","","","","21517841","",""
"英光産業","5.1.16","5.5.15","福井銀行","福井中央支店","253696","広島信用金庫五日市中央支店","割引手形"
"合計","","","","","","",""
