振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)DNPテクノパーク,,令5.6.5,みずほ銀行,市ヶ谷支店,787446,,
(株)DNPテクノパーク,,令5.7.5,みずほ銀行,市ヶ谷支店,1168526,,
(株)アイスジャパン,,令5.6.30,室蘭信用金庫,東室蘭支店,383663,,
小計(受取手形),,,,,2339635,,
(株)DNPテクノパー,,令5.4.5,みずほ銀行,市ヶ谷支店,1932084,北海道信用金庫発寒支店,
梅田(株),,令5.4.10,北洋銀行,末広町支店,184781,苫小牧信金札幌支店,
(株)DNPテクノパー,,令5.5.5,みずほ銀行,市ヶ谷支店,1329512,秋田銀行宮の沢支店,
梅田(株),,令5.5.10,北洋銀行,末広町支店,183579,苫小牧信金札幌支店,
(株)三宝,,令5.5.15,りそな銀行,上六支店,1594596,苫小牧信金札幌支店,
(株)だるま食品,,令5.4.30,北洋銀行,五稜郭公園支店,673200,北海道信用金庫発寒支店,
オシキリ食品(株),,令5.4.10,秋田銀行,札幌支店,17764080,北海道信用金庫発寒支店,
オシキリ食品(株),,令5.4.30,秋田銀行,札幌支店,9047478,秋田蛮行宮の沢支店,
(株)だるま食品,,令5.5.31,北洋銀行,五稜郭公園支店,1182757,北海道信用金庫発寒支店,
オシキリ食品(株),,令5.5.31,秋田銀行,札幌支店,16377071,北海道信用金庫発寒支店,
オシキリ食品,,令5.5.31,秋田銀行,札幌支店,9386694,北海道信用金庫発寒支店,
小計(割引手形),,,,,59655832,,
計,,,,,61995467,,
