振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
(株)マツウラ,R5・3・31,R5・7・31,北洋銀行豊平支店,3095265,,
三上建設(株),R4・12・26,R5・4・25,北洋銀行北五条通支店,3000000,,
〃,R5・1・25,R5・5・25,北洋銀行北五条通支店,3000000,,
丸惣ウッド(有),R5・2・28,R5・5・31,北洋銀行手稲中央支店,2861480,,
ホクセイ商事(株),R5・3・15,R5・6・30,北洋銀行千歳中央支店,2802169,,
(株)メタリック,R4・12・27,R5・4・30,北洋銀行五稜郭公園支店,2687650,,
(株)マツウラ,R5・2・28,R5・6・30,北洋銀行豊平支店,2319540,,
三上建設(株),R5・3・27,R5・7・25,北洋銀行北五条通支店,2000000,,
(株)ハウジング高橋,R4・12・20,R5・4・30,北洋銀行北郷支店,1891082,,
〃,R5・1・20,R5・5・31,北洋銀行北郷支店,1801165,,
〃,R5・2・20,R5・6・30,北洋銀行北郷支店,1580512,,
丸惣ウッド(有),R5・1・31,R5・4・30,北洋銀行手稲中央支店,1530655,,
(株)三洋工業北海道システム,R5・2・28,R5・6・30,三菱UFJ銀行日本橋中央支店,1481174,,
岩倉建材(株),R5・3・20,R5・7・20,北洋銀行豊平支店,1336845,,
(株)丸昇八田,R4・12・28,R5・4・20,北洋銀行豊平支店,1200000,,
(株)三洋工業北海道システム,R5・1・31,R5・5・31,三菱UFJ銀行日本橋中央支店,1109020,,
(株)丸昇八田,R5・3・31,R5・7・20,北洋銀行豊平支店,1100000,,
(有)近藤産業,R5・3・6,R5・4・30,北洋銀行西町支店,1000000,,
(株)メタリック,R5・1・31,R5・6・10,北洋銀行札幌駅南口支店,1000000,,
(株)プレスボード,R5・2・3,R5・4・5,北海道銀行釧路支店,994054,,
(株)マツウラ,R5・1・31,R5・5・31,北洋銀行豊平支店,955747,,
(有)近藤産業,R4・12・5,R5・4・3,北洋銀行北郷支店,910000,,
ダイアックス(株),R4・2・20,R5・4・15,みずほ銀行札幌支店,899131,,
計,,,,,,
