"振出人","振出年月日","支払期日","支払銀行名称・支店名","金額","割引銀行名及び支店名等","摘要"
"タカギ冷機(株)","令5・3・31","令5・7・31","みずほ銀行足立支店","5000000","",""
"タカギ冷機(株)","令5・3・31","令5・7・31","みずほ銀行足立支店","2335900","",""
"中山エンジニアリング(株)","令5・4・5","令5・8・7","埼玉りそな銀行戸田支店","3000000","",""
"中山エンジニアリング(株)","令5・4・5","令5・8・7","埼玉りそな銀行戸田支店","850000","",""
"三森商事(株)","令5・4・20","令5・8・25","三菱UFJ銀行巣鴨支店","5000000","",""
"三森商事(株)","令5・4・20","令5・8・25","三菱UFJ銀行巣鴨支店","2443040","",""
"チバ製作所","令5・4・25","令5・7・31","三井住友銀行三田支店","159918","",""
"タカギ冷機(株)","令5・4・28","令5・8・31","みずほ銀行足立支店","4840000","",""
"ジャパン・フィッティング(株)","令5・4・30","令5・9・10","足立成和信用金庫南花畑支店","259456","",""
"ダイヤ冷ケース(株)","令5・4・30","令5・9・5","三菱UFJ銀行世田谷支店","1479280","",""
"タニコー(株)","令5・4・30","令5・8・31","りそな銀行渋谷支店","2011020","",""
"受取手形合計","","","","78768204","",""
"(株)千代田組","令5・4・28","令5・8・31","三菱東京UFJ銀行本店営業部","827200","",""
"タイテック(株)","令5・4・20","令5・8・20","商工組合中央金庫上野支店","404690","",""
"タイテック(株)","令5・3・20","令5・7・20","商工組合中央金庫上野支店","864050","",""
"タイテック(株)","令5・2・20","令5・6・20","商工組合中央金庫上野支店","266750","",""
"タイテック(株)","令5・1・20","令5・5・20","商工組合中央金庫上野支店","649550","",""
"日本エアーテック(株)","令5・4・20","令5・9・20","三菱UFJ銀行上野中央支店","2450800","",""
"日本エアーテック(株)","令5・3・20","令5・8・21","三菱UFJ銀行上野中央支店","540100","",""
"日本エアーテック(株)","令5・2・20","令5・7・20","三菱UFJ銀行上野中央支店","1927420","",""
"日本エアーテック(株)","令5・1・20","令5・6・20","三菱UFJ銀行上野中央支店","511500","",""
"日本エアーテック(株)","令4・12・20","令5・5・22","三菱UFJ銀行上野中央支店","834350","",""
"クボタ空調(株)","令4・12・29","令5・5・1","三井住友銀行","20433715","",""
"クボタ空調(株)","令5・1・31","令5・5・31","三井住友銀行","18331395","",""
"(株)前川製作所","令5・1・31","令5・5・30","三井住友銀行","18678000","",""
"(株)前川製作所","令5・3・31","令5・7・27","三井住友銀行","1870000","",""
"計","","","","","",""
