"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"サンエス工業(株)","令4・1・31","令4・5・31","みずほ銀行上野","10000000","",""
"サンエス工業(株)","令4・1・31","令4・5・31","みずほ銀行上野","2100000","",""
"サンエス工業(協)","令4・2・28","令4・6・30","みずほ銀行上野","5000000","",""
"サンエス工業(株)","令4・2・28","令4・6・30","みずほ銀行上野","3000000","",""
"サンエス工業(株)","令4・3・31","令4・7・29","みずほ銀行上野","5000000","",""
"サンエス工業(株)","令4・3・31","令4・7・29","みずほ銀行上野","2304000","",""
"(株)精研","令4・2・15","令4・6・15","三菱UFJ銀行日本一","5000000","",""
"(株)精研","令4・2・15","令4・6・15","三菱UFJ銀行日本一","2414000","",""
"ユージー設備(株)","令4・2・28","令4・6・30","静岡銀行山下","1212000","",""
"濃尾機電(株)","令4・2・28","令4・6・25","十六銀行内田橋","2419596","",""
"小計","","","","38449596","",""
"計","","","","38449596","",""
