"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"藤倉化成(株)","","5.1.31","みずほ/東京法人","1616450","",""
"(株)システック牛島","","5.1.31","福井/富山","275000","",""
"パーカーアサヒ(株)","","5.1.31","埼玉りそな/深谷","2488200","",""
"デンカエラストリューション(株)","","5.1.31","足利/深谷","104500","",""
"(株)オリエンテック","","5.1.31","三菱UFJ/神田駅前","2233000","",""
"米山化学工業(株)","","5.1.31","三井住友/西野田","137500","",""
"中国化薬(株)","","5.2.10","広島/呉","864600","",""
"藤倉化成(株)","","5.2.28","みずほ/東京法人","220000","",""
"(株)システック牛島","","5.2.28","福井/富山","462000","",""
"米山化学工業(株)","","5.2.28","三井住友/西野田","616000","",""
"群栄産業(株)","","5.3.10","群馬/伊勢崎","193600","",""
"第一物産(株)","","5.3.10","富山/横田","593596","",""
"日本工作油(株)","","5.3.20","三井住友/三田通","120780","",""
"藤倉化成(株)","","5.3.31","みずほ/東京法人","203500","",""
"日本ピグメント(株)","","5.3.31","三菱UFJ/神田駅前","1452000","",""
"大木理工機材(株)","","5.4.10","群馬/高崎田町","396000","",""
"(株)ユニオン","","5.4.10","高信/西","3000000","",""
"(株)ユニオン","","5.4.10","高信/西","40180","",""
"第一物産(株)","","5.4.10","富山/横田","346096","",""
"RP東プラ(株)","","5.4.10","関西みらい/本店営業部","489096","",""
"(株)エー・アンド・デイ","","5.4.20","足利/桶川","280500","",""
"(株)オーアンドケー","","5.4.20","三菱UFJ/歌島橋","825000","",""
"日本工作油(株)","","5.4.20","三井住友/三田通","912780","",""
"藤倉化成(株)","","5.4.30","みずほ/東京法人","110000","",""
"(株)システック牛島","","5.4.30","福井/富山","385000","",""
"パーカーアサヒ(株)","","5.4.30","埼玉りそな/深谷","385000","",""
"(株)ユニオン","","5.5.10","高信/西","885500","",""
"小計","","","","19635878","",""
