"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"斉藤設備機工(株)","R.4.12.15","R.5.4.20","福井","春江","420000","",""
"斉藤設備機工(株)","R.5.2.15","R.5.6.20","福井","春江","2671000","",""
"三晃商事(株)","R.5.1.31","R.5.5.31","きらぼし","新宿","707712","",""
"三晃商事(株)","R.5.2.28","R.5.6.30","きらぼし","新宿","1887242","",""
"三晃商事(株)","R.5.3.31","R.5.7.31","きらぼし","新宿","355459","",""
"ジャパン建材(株)","R.4.12.15","R.5.4.15","みずほ","小舟町","431781","",""
"ジャパン建材(株)","R.5.2.15","R.5.6.15","みずほ","小舟町","325271","",""
"ジャパン建材(株)","R.5.3.15","R.5.7.15","みずほ","小舟町","434231","",""
"(株)昭栄","R.4.12.26","R.4.5.5","商工中金","船場","657778","",""
"(株)昭栄","R.5.2.27","R.5.5.31","りそな","西神戸","281829","",""
"(株)昭栄","R.5.1.25","R.5.6.5","商工中金","船場","567226","",""
"(株)昭栄","R.5.3.27","R.5.8.5","商工中金","船場","611175","",""
"昭和企業(株)","R.4.11.20","R.5.4.5","八十二","西松本","2096473","",""
"昭和企業(株)","R.4.12.20","R.5.5.5","八十二","西松本","347905","",""
"昭和企業(株)","R.5.1.20","R.5.6.5","八十二","西松本","565419","",""
"昭和企業(株)","R.5.2.20","R.5.7.5","八十二","西松本","147426","",""
"昭和企業(株)","R.5.3.20","R.5.8.5","八十二","西松本","587001","",""
"(株)ゼット販売工業","R.5.3.31","R.5.7.31","名古屋","桜山","1361261","",""
"東栄産業(株)","R.4.11.21","R.5.4.6","七十七","卸町","356105","セブン産業(株)","裏書譲渡"
"東栄産業(株)","R.4.12.20","R.5.5.6","七十七","卸町","361714","セブン産業(株)","裏書譲渡"
"東栄産業(株)","R.5.1.20","R.5.6.6","七十七","卸町","391083","ネポン(株)","裏書譲渡"
"東栄産業(株)","R.5.3.20","R.5.8.6","七十七","卸町","293315","",""
"TOTO北海道販売(株)","R.4.12.20","R.5.4.20","三井住友","北九州","450267","ネポン(株)","裏書譲渡"
"計","","","","","","",""
