"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","(有)三共金物","R6.3.29","R6.7.5","沖縄海邦銀行南風原支店","","1300000","",""
"T7410001012401","東光産業(株)","R6.3.22","R6.7.10","秋田銀行大館支店","","120192","",""
"T5370201003297","(株)宮城ビルテック","R6.3.25","R6.7.10","七十七銀行若柳支店","","267965","",""
"","丸高商事","R6.3.25","R6.7.10","沖縄銀行石垣出張所","","764445","",""
"","ビー・ゼイ工事(株)","R6.3.25","R6.7.10","沖縄銀行高橋支店","","1666140","",""
"T2360001010571","(株)Will","R6.3.25","R6.7.10","琉球銀行南風原支店","","299200","",""
"T6360001001170","(株)真力","R6.3.29","R6.7.10","沖縄銀行首里支店","","5000000","",""
"T6360001001170","(株)真力","R6.3.29","R6.7.10","沖縄銀行首里支店","","338579","",""
"T3360002007293","(有)なか総合金物商会","R6.3.29","R6.7.10","沖縄銀行古波蔵支店","","550000","",""
"T3360002007293","(有)なか総合金物商会","R6.3.29","R6.7.10","琉球銀行安波茶支店","","2000000","",""
"T7360001006508","(株)ナカモト","R6.3.25","R6.7.12","沖縄銀行与那原支店","","1500000","",""
"","松知総業","R6.3.29","R6.7.15","商工組合中央金庫池袋支店","","1643120","",""
"T3360002007293","(有)なか総合金物商会","R6.3.29","R6.7.15","沖縄銀行内間支店","","1500000","",""
"","小松物産(株)","R6.3.29","R6.7.20","七十七銀行一番町支店","","104390","",""
"T4360001008812","(株)佐久本工機","R6.3.29","R6.7.25","琉球銀行浦添支店","","2839683","",""
"","宜野湾市管工事(協)","R6.3.29","R6.7.28","沖縄海邦銀行大謝名支店","","966940","",""
"T8180001097829","(株)インダストリーコーワ","R6.3.22","R6.7.31","三菱UFJ銀行尾張新川支店","","475200","",""
"T1230001010552","(株)トヨバックス","R6.3.22","R6.7.31","高岡信用金庫美幸町支店","","584595","",""
"","初穂商事(株)","R6.3.25","R6.7.31","三菱UFJ銀行今池支店","","1170620","",""
"T6120001149323","カワモリ産業(株)","R6.3.29","R6.7.31","京都銀行枚方支店","","209000","",""
"","(株)日幸商会","R6.3.29","R6.7.31","七十七銀行名掛丁支店","","453541","",""
"T3380001011187","A&Kホンシュウ(株)","R6.3.29","R6.7.31","東邦銀行安積支店","","330110","",""
"","(株)タダシ建設","R6.3.29","R6.7.31","沖縄銀行鳥堀支店","","4974000","",""
"計","","","","","","","",""
