振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
(株)フジ標産,令3.12.23,令4.4.10,庄内銀行北山形支店,1262645,,YG95861売上代金
仙台明邦産業(株),令3.12.31,令4.4.30,みずほ銀行仙台支店,2170223,,AM29945売上代金
(株)松沢商会,令3.12.27,令4.4.30,第四銀行新潟駅前支店,774774,,HA18824売上代金
トーステ(株),令3.12.28,令4.4.30,りそな銀行大阪西区支店,1178416,,OI64496売上代金
(有)河北シャーリング,令4.1.16,令4.5.20,東邦銀行仙台東支店,248160,,BF14271売上代金
仙台明邦産業(株),令4.1.31,令4.5.31,みずほ銀行仙台支店,477642,,AM29962売上代金
(株)松沢商会,令4.1.26,令4.5.31,第四銀行新潟駅前支店,945450,,HA18856売上代金
(株)フジ標産,令3.11.24,令4.2.10,みずほ銀行山形支店,213016,,裏書先東北ネヂ製造(株)
(株)松沢商会,令3.10.25,令4.2.28,第四銀行新潟駅前支店,935440,,裏書先(株)小林真功商店
仙台明峰産業(株),令3.10.31,令4.2.28,七十七銀行東卸町,207896,,裏書先東北ネヂ製造(株)
東北電化工業(株),令3.11.10,令4.3.10,きらやか銀行山形駅前支店,843700,,裏書先河北鋼材産業(株)
北日本電材(株),令3.12.20,令4.3.20,東北銀行仙台支店,458700,,裏書先(有)河北シャーリング
(株)フジ標産,令3.11.24,令4.3.31,みずほ銀行山形支店,172423,,裏書先(有)プロテック仙台
(株)松沢商会,令3.11.26,令4.3.31,第四銀行新潟駅前支店,607420,,裏書先(株)インスメタル
仙台明峰産業(株),令3.11.30,令4.3.31,七十七銀行東卸町,479391,,裏書先東北ネヂ製造(株)
信号電材(株),令3.11.30,令4.3.31,西日本銀行大牟田支店,137500,,裏書先(有)河北シャーリング
日信防災(株),令3.11.30,令4.3.31,三菱UFJ銀行秋葉原支店,176000,,裏書先(株)シマキュウ
(株)郡山電機製作所,令3.12.31,令4.4.5,常陽銀行郡山支店,484000,,裏書先(株)アマダ
東北電化工業(株),令3.12.10,令4.4.10,山形銀行山形駅前支店,1119250,,裏書先河北鋼材産業(株)
〃,令4.1.11,令4.5.10,山形銀行山形駅前支店,660000,,裏書先(株)インスメタル
受取手形計,,,,13552046,,
河北精機,,,,1,,備忘価額
計,,,,,,
