"振出人","振出年月日","支払期日","支払銀行名支店名","金額","割引銀行名及び支店名等","摘要"
"(株)関電工","R4・12・20","R5・2・20","","5300000","七十七銀行六丁目支店","割引電子記録債権"
"(株)ユアテック","R4・10・31","R5・2・28","","660000","七十七銀行六丁目支店","割引電子記録債権"
"(株)中北電機","R4・10・31","R5・2・28","","3214123","七十七銀行六丁目支店","割引電子記録債権"
"日本電設工業(株)","R4・11・10","R5・3・10","","2301530","常陽銀行仙台支店","割引電子記録債権"
"(株)ユアテック","R4・11・30","R5・3・31","","6850000","七十七銀行六丁目支店","割引電子記録債権"
"(株)中北電機","R4・11・30","R5・3・31","","2029115","七十七銀行六丁目支店","割引電子記録債権"
"日本電設工業(株)","R4・12・12","R5・4・10","","4313430","七十七銀行六丁目支店","割引電子記録債権"
"(株)日設","R4・12・23","R5・4・25","","420200","七十七銀行六丁目支店","割引電子記録債権"
"ホーチキ(株)","R4・12・27","R5・4・28","","133100","七十七銀行六丁目支店","割引電子記録債権"
"(株)中北電機","R4・12・30","R5・4・30","","1271226","七十七銀行六丁目支店","割引電子記録債権"
"(株)ユアテック","R4・12・28","R5・5・1","","570000","常陽銀行仙台支店","割引電子記録債権"
"日本電設工業(株)","R5・1・10","R5・5・10","","1250150","常陽銀行仙台支店","割引電子記録債権"
"ホーチキ(株)","R5・1・27","R5・5・29","","255750","七十七銀行六丁目支店","割引電子記録債権"
"(株)中北電機","R5・1・31","R5・5・31","","2040896","常陽銀行仙台支店","割引電子記録債権"
"(株)ユアテック","R5・1・31","R5・5・31","","1930000","七十七銀行六丁目支店","割引電子記録債権"
"","","","割引電子記録債権計","32539520","",""
"東北電化工業(株)","R4・12・12","R5・4・10","山形銀行山形駅前支店","5000000","","裏書先(有)プロテック"
"〃","R4・12・12","R5・4・10","山形銀行山形駅前支店","2042300","","裏書先(有)プロテック"
"(株)星理科学器機","R5・1・20","R5・4・28","七十七銀行芭蕉の辻支店","382800","","裏書先(有)河北シャーリング"
"(株)松沢商会","R4・12・26","R5・4・30","第四北越銀行新潟駅前支店","331650","","裏書先(株)インスメタル"
"保工東北(株)","R5・1・20","R5・5・20","きらやか銀行弓ノ町支店","3000000","","裏書先河北鋼材産業(株)"
"","","","計","10756750","",""
"計","","","","53623943","",""
