20250722112701150,1,1,001,000120,202507,宮野医療機器(株),宮野医療機器(株),2651,,,令5.4.8,令5.4.8,211736,211736,三井住友,三井住友,兵庫,兵庫,,,,
20250722112701150,1,2,001,000120,202507,西尾衛生材料(株),西尾衛生材料(株),2141,,,令5.4.15,令5.4.15,156982,156982,瀬戸信金,瀬戸信金,押切,押切,,,,
20250722112701150,1,3,001,000120,202507,大日医療販売,大日医療販売,2147,,,令5.4.30,令5.4.30,120065,120065,滋賀,滋賀,本店営業部,本店営業部,,,,
20250722112701150,1,4,001,000120,202507,不二光学器械(株),不二光学器械(株),2142,,,令5.4.20,令5.4.20,1094526,1094526,北洋,北洋,麻生,麻生,,,,
20250722112701150,1,5,001,000120,202507,(株)栄屋理化,(株)栄屋理化,2146,,,令5.4.15,令5.4.15,120318,120318,百五,百五,本店営業部,本店営業部,,,,
20250722112701150,1,6,001,000120,202507,(株)ムトウ,(株)ムトウ,2581,,,令5.4.10,令5.4.10,805115,805115,みずほ,みずほ,札幌,札幌,,,,
20250722112701150,1,7,001,000120,202507,(株)大島製作所,(株)大島製作所,2143,,,令5.4.20,令5.4.20,143167,143167,三菱UFJ,三菱UFJ,小松川,小松川,,,,
20250722112701150,1,8,001,000120,202507,(株)常光,(株)常光,2562,,,令5.4.16,令5.4.16,290654,290654,三菱UFJ,三菱UFJ,札幌,札幌,,,,
20250722112701150,1,9,001,000120,202507,(株)伸和,(株)伸和,2148,,,令5.4.20,令5.4.20,157421,157421,十六,十六,今池,今池,,,,
20250722112701150,1,10,001,000120,202507,西尾衛生材料(株),西尾衛生材料(株),2141,,,令5.5.15,令5.5.15,480632,480632,瀬戸信金,瀬戸信金,押切,押切,,,,
20250722112701150,1,11,001,000120,202507,不二光学器械(株),不二光学器械(株),2142,,,令5.5.20,令5.5.20,785268,785268,北洋,北洋,麻生,麻生,,,,
20250722112701150,1,12,001,000120,202507,(株)ムトウ,(株)ムトウ,2581,,,令5.5.10,令5.5.10,509563,509563,みずほ,みずほ,札幌,札幌,,,,
20250722112701150,1,13,001,000120,202507,(株)大島製作所,(株)大島製作所,2143,,,令5.5.20,令5.5.20,348384,348384,三菱UFJ,三菱UFJ,小松川,小松川,,,,
20250722112701150,1,14,001,000120,202507,(株)伸和,(株)伸和,2148,,,令5.5.20,令5.5.20,168927,168927,十六,十六,今池,今池,,,,
20250722112701150,1,15,001,000120,202507,不二光学器械(株),不二光学器械(株),2142,,,令5.6.20,令5.6.20,787873,787873,北洋,北洋,麻生,麻生,,,,
20250722112701150,1,16,001,000120,202507,(株)大島製作所,(株)大島製作所,2143,,,令5.6.20,令5.6.20,115551,115551,三菱UFJ,三菱UFJ,小松川,小松川,,,,
20250722112701150,1,17,001,000120,202507,(株)ムトウ,(株)ムトウ,2581,,,令5.6.10,令5.6.10,664816,664816,みずほ,みずほ,札幌,札幌,,,,
