20250718182502340,1,1,001,000239,202507,一井工業株式会社,一井工業株式会社,858,令5.4.28,令5.4.28,令5.8.31,令5.8.31,7139217,7139217,伊予銀行,伊予銀行,倉敷支店,倉敷支店,,,,
20250718182502340,1,2,001,000239,202507,株式会社ニッテツ,株式会社ニッテツ,855,令5.8.31,令5.8.31,令5.8.31,令5.8.31,2428447,2428447,広島信用金庫,広島信用金庫,横川支店,横川支店,,,,
20250718182502340,1,3,001,000239,202507,株式会社ニッテツ,株式会社ニッテツ,855,令5.5.31,令5.5.31,令5.9.30,令5.9.30,2365119,2365119,広島信用金庫,広島信用金庫,横川支店,横川支店,,,,
20250718182502340,1,4,001,000239,202507,株式会社ニッテツ,株式会社ニッテツ,855,令5.6.30,令5.6.30,令5.10.31,令5.10.31,1543923,1543923,広島信用金庫,広島信用金庫,横川支店,横川支店,,,,
20250718182502340,1,5,001,000239,202507,株式会社ニッテツ,株式会社ニッテツ,855,令5.7.31,令5.7.31,令5.11.30,令5.11.30,2132519,2132519,広島信用金庫,広島信用金庫,横川支店,横川支店,,,,
20250718182502340,1,6,001,000239,202507,ヒルタ工業,ヒルタ工業,856,令5.4.28,令5.4.28,令5.8.31,令5.8.31,1231766,1231766,広島銀行,広島銀行,福山営業本部,福山営業本部,,,,
20250718182502340,1,7,001,000239,202507,ヒルタ工業,ヒルタ工業,856,令5.5.31,令5.5.31,令5.9.30,令5.9.30,801233,801233,中国銀行,中国銀行,総社支店,総社支店,,,,
20250718182502340,1,8,001,000239,202507,ヒルタ工業,ヒルタ工業,856,令5.7.31,令5.7.31,令5.11.30,令5.11.30,887658,887658,中国銀行,中国銀行,総社支店,総社支店,,,,
20250718182502340,1,9,001,000239,202507,旭金属工業株式会社,旭金属工業株式会社,857,令5.4.30,令5.4.30,令5.8.31,令5.8.31,1745829,1745829,玉島信用金庫,玉島信用金庫,勇崎支店,勇崎支店,,,,
20250718182502340,1,10,001,000239,202507,旭金属工業株式会社,旭金属工業株式会社,857,令5.5.31,令5.5.31,令5.10.31,令5.10.31,1276838,1276838,玉島信用金庫,玉島信用金庫,勇崎支店,勇崎支店,,,,
20250718182502340,1,11,001,000239,202507,旭金属工業株式会社,旭金属工業株式会社,857,令5.7.31,令5.7.31,令5.11.30,令5.11.30,1577462,1577462,玉島信用金庫,玉島信用金庫,勇崎支店,勇崎支店,,,,
20250718182502340,1,12,001,000239,202507,旭金属工業株式会社,旭金属工業株式会社,857,,,,,1075072,1075072,玉島信用金庫,玉島信用金庫,勇崎支店,勇崎支店,,,,
