ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,314769,202507,Ⅰ売上高,Ⅰ売上高,,,,,,,,,,,,,
,,2,000,314769,202507,製品売上高,製品売上高,,"277,126,204","277,126,204",,,,,,,,,,
,,3,000,314769,202507,商品売上高,商品売上高,,"215,852,514","215,852,514",,,,,,,,,,
,,4,000,314769,202507,資材売上・その他の収入,資材売上・その他の収入,,"84,362,691","84,362,691",,,,,,,,,,
,,5,000,314769,202507,海外売上高,海外売上高,,"907,578","907,578","578,248,987","578,248,987",,,"578,248,987","578,248,987",,,,
,,6,000,314769,202507,Ⅱ売上原価,Ⅱ売上原価,,,,,,,,,,,,,
,,7,000,314769,202507,期首棚卸高,期首棚卸高,,,,"180,451,780","180,451,780",,,,,,,,
,,8,000,314769,202507,商品仕入高,商品仕入高,,"42,640,480","42,640,480",,,,,,,,,,
,,9,000,314769,202507,海外仕入高,海外仕入高,,"98,801,691","98,801,691","141,442,171","141,442,171",,,,,,,,
,,10,000,314769,202507,当期製品製造原価,当期製品製造原価,,,,"290,767,389","290,767,389",,,,,,,,
,,11,000,314769,202507,合計,合計,,,,"612,661,340","612,661,340",,,,,,,,
,,12,000,314769,202507,期末棚卸高,期末棚卸高,,,,"161,552,777","161,552,777",,,"451,108,563","451,108,563",,,,
,,13,000,314769,202507,売上総利益,売上総利益,,,,,,,,"127,140,424","127,140,424",,,,
,,14,000,314769,202507,Ⅲ販売費及び一般管理費,Ⅲ販売費及び一般管理費,,,,,,,,,,,,,
,,15,000,314769,202507,販売費及び一般管理費,販売費及び一般管理費,,,,"146,361,549","146,361,549",,,"146,361,549","146,361,549",,,,
,,16,000,314769,202507,営業損失,営業損失,,,,,,,,"19,221,125","19,221,125",,,,
,,17,000,314769,202507,Ⅳ営業外収益,Ⅳ営業外収益,,,,,,,,,,,,,
,,18,000,314769,202507,受取利息,受取利息,,,,5,5,,,,,,,,
,,19,000,314769,202507,給付金収入,給付金収入,,,,"15,478,000","15,478,000",,,,,,,,
,,20,000,314769,202507,貸倒引当金戻入,貸倒引当金戻入,,,,"92,000","92,000",,,,,,,,
,,21,000,314769,202507,受取配当金,受取配当金,,,,"5,500","5,500",,,,,,,,
,,22,000,314769,202507,雑収入,雑収入,,,,"1,896,034","1,896,034",,,"17,471,539","17,471,539",,,,
,,23,000,314769,202507,V営業外費用,V営業外費用,,,,,,,,,,,,,
,,24,000,314769,202507,支払利息,支払利息,,,,"9,811,291","9,811,291",,,,,,,,
,,25,000,314769,202507,,,,,,711808,711808,,,,,,,,
,,26,000,314769,202507,,,,,,457928,457928,,,10981027,10981027,,,,
,,27,000,314769,202507,経常損失,経常損失,,,,,,,,"12,730,613","12,730,613",,,,
,,28,000,314769,202507,Ⅵ特別利益,Ⅵ特別利益,,,,,,,,,,,,,
,,29,000,314769,202507,特別利益,特別利益,,,,0,0,,,0,0,,,,
,,30,000,314769,202507,Ⅶ特別損失,Ⅶ特別損失,,,,,,,,,,,,,
,,31,000,314769,202507,特別損失,特別損失,,,,0,0,,,0,0,,,,
,,32,000,314769,202507,税引前当期純損失,税引前当期純損失,,,,,,,,"12,730,613","12,730,613",,,,
,,33,000,314769,202507,法人税、住民税及び事業税,法人税、住民税及び事業税,,,,"360,000","360,000",,,"360,000","360,000",,,,
,,34,000,314769,202507,当期純損失,当期純損失,,,,,,,,"13,090,613","13,090,613",,,,
