file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,amount_0,amount_1,,,,,,,,,,,,,,,,,
,,,1,(流動資産),(流動資産),,,,,,,,,,,,,,,,,,,
,,,2,現金・預金,現金・預金,"133,638,701",,,,,,,,,,,,,,,,,,
,,,3,受取手形,受取手形,"15,174,349",,,,,,,,,,,,,,,,,,
,,,4,売掛金,売掛金,"68,204,095",,,,,,,,,,,,,,,,,,
,,,5,製品,製品,"33,974,113",,,,,,,,,,,,,,,,,,
,,,6,原材料,原材料,"88,637,099",,,,,,,,,,,,,,,,,,
,,,7,仕掛品,仕掛品,"19,366,677",,,,,,,,,,,,,,,,,,
,,,8,未収入金,未収入金,"867,672",,,,,,,,,,,,,,,,,,
,,,9,立替金,立替金,"41,753",,,,,,,,,,,,,,,,,,
,,,10,前払金,前払金,"80,832",,,,,,,,,,,,,,,,,,
,,,11,預貯金,預貯金,"473,461",,,,,,,,,,,,,,,,,,
,,,12,前払費用,前払費用,"470,000",,,,,,,,,,,,,,,,,,
,,,13,貸倒引当金,貸倒引当金,"567,000",,,,,,,,,,,,,,,,,,
,,,14,流動資産合計,流動資産合計,,"360,361,752",,,,,,,,,,,,,,,,,
,,,15,(固定資産),(固定資産),,,,,,,,,,,,,,,,,,,
,,,16,(有形固定資産),(有形固定資産),,,,,,,,,,,,,,,,,,,
,,,17,建物,建物,"80,726,197",,,,,,,,,,,,,,,,,,
,,,18,建物付属設備,建物付属設備,"24,532,721",,,,,,,,,,,,,,,,,,
,,,19,構築物,構築物,"2,198,289",,,,,,,,,,,,,,,,,,
,,,20,機械装置,機械装置,"7,199,359",,,,,,,,,,,,,,,,,,
,,,21,車両運搬具,車両運搬具,7,,,,,,,,,,,,,,,,,,
,,,22,器具備品,器具備品,"4,898,650",,,,,,,,,,,,,,,,,,
,,,23,土地,土地,"98,384,841",,,,,,,,,,,,,,,,,,
,,,24,リース資産,リース資産,"6,137,500",,,,,,,,,,,,,,,,,,
,,,25,有形固定資産合計,有形固定資産合計,,"224,077,564",,,,,,,,,,,,,,,,,
,,,26,(無形固定資産),(無形固定資産),,,,,,,,,,,,,,,,,,,
,,,27,電話加入権,電話加入権,"413,313",,,,,,,,,,,,,,,,,,
,,,28,ソフトウェア,ソフトウェア,"1,219,467",,,,,,,,,,,,,,,,,,
,,,29,水道加入金,水道加入金,"186,783",,,,,,,,,,,,,,,,,,
,,,30,無形固定資産合計,無形固定資産合計,,"1,819,563",,,,,,,,,,,,,,,,,
,,,31,(投資その他の資産),(投資その他の資産),,,,,,,,,,,,,,,,,,,
,,,32,出資金,出資金,"41,500",,,,,,,,,,,,,,,,,,
,,,33,投資有価証券,投資有価証券,"23,781,911",,,,,,,,,,,,,,,,,,
,,,34,保険積立金,保険積立金,"2,412,850",,,,,,,,,,,,,,,,,,
,,,35,差入保証金,差入保証金,"540,000",,,,,,,,,,,,,,,,,,
,,,36,長期貸付金,長期貸付金,"3,000,000",,,,,,,,,,,,,,,,,,
,,,37,長期前払費用,長期前払費用,"5,023,126",,,,,,,,,,,,,,,,,,
,,,38,リサイクル預託金,リサイクル預託金,"51,260",,,,,,,,,,,,,,,,,,
,,,39,投資その他の資産合計,投資その他の資産合計,,"34,850,647",,,,,,,,,,,,,,,,,
,,,40,固定資産合計,固定資産合計,,"260,747,774",,,,,,,,,,,,,,,,,
,,,41,(繰延資産),(繰延資産),,,,,,,,,,,,,,,,,,,
,,,42,繰延資産,繰延資産,"1,871,203",,,,,,,,,,,,,,,,,,
,,,43,繰延資産合計,繰延資産合計,,"1,871,203",,,,,,,,,,,,,,,,,
,,,44,資産の部合計,資産の部合計,,"622,980,729",,,,,,,,,,,,,,,,,
