file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,買掛金,買掛金,神免紙器(株),岡山県浅口市金光町占見,4045223,,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)筑波化成,山口県美祢市大嶺町東分1133-1,2700610,,,,,,,,,,,,,,,,
,,,3,〃,〃,大本紙料(株),兵庫県神戸市東灘区向洋町東3丁目17番地,2568654,,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)オガワエコノス,広島県府中市高木町502-10,2387491,,,,,,,,,,,,,,,,
,,,5,〃,〃,(有)クリーンエステート,岡山県倉敷市連島町連島145-1,2112875,,,,,,,,,,,,,,,,
,,,6,〃,〃,稲畑産業(株),大阪府大阪市中央区南船場1丁目15番14号,2027520,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)シンミヤテック,広島県廿日市市木材港北1-1,1729200,,,,,,,,,,,,,,,,
,,,8,〃,〃,菅野包装資材(株),兵庫県加西市繁昌町894番地,1652812,,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)リュース,広島県広島市東区牛田新町3丁目17-12-2,1585430,,,,,,,,,,,,,,,,
,,,10,〃,〃,(株)ダイトク,大阪府摂津市新在家2-1-1,1539010,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)岡田商運,広島県福山市東深津町2丁目9-9,1515118,,,,,,,,,,,,,,,,
,,,12,〃,〃,(株)オガワエコノス福山工場,広島県福山市箕沖町106-3,1508177,,,,,,,,,,,,,,,,
,,,13,〃,〃,(株)岡山故紙,岡山県倉敷市平田708-4,1494545,,,,,,,,,,,,,,,,
,,,14,〃,〃,(株)金光,愛知県一宮市蓮池字郷西77番地,1448700,,,,,,,,,,,,,,,,
,,,15,〃,〃,(株)パックス,愛知県丹羽郡大口町替地2丁目135番地,1179904,,,,,,,,,,,,,,,,
,,,16,〃,〃,(株)木村,兵庫県高砂市荒井町新浜2丁目14-23,1028808,,,,,,,,,,,,,,,,
,,,17,〃,〃,ダイセー倉庫運輸(株),愛知県小牧市入鹿出新田900番地,937831,,,,,,,,,,,,,,,,
,,,18,〃,〃,(有)ヤマグチ産業,大阪府南河内郡千早赤阪村東阪231-1,876095,,,,,,,,,,,,,,,,
,,,19,〃,〃,(有)オオタ産業,広島県尾道市東尾道15-17,852073,,,,,,,,,,,,,,,,
,,,20,〃,〃,(株)ミムラ,岡山県岡山市南区豊成1丁目8-8,843288,,,,,,,,,,,,,,,,
,,,21,〃,〃,ハロー運輸(株),岡山県岡山市中区桑野110-2,770717,,,,,,,,,,,,,,,,
,,,22,〃,〃,(株)サピックス,岡山県岡山市中区浜1-6-24,762773,,,,,,,,,,,,,,,,
,,,23,〃,〃,(有)新生産業,岡山県岡山市南区福吉町24-6,737110,,,,,,,,,,,,,,,,
,,,24,計,計,,,,,,,,,,,,,,,,,,,
