file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,amount_0,amount_1,,,,,,,,,,,,,,,,,
,,,1,(純売上高),(純売上高),,,,,,,,,,,,,,,,,,,
,,,2,貸家,貸家,"19,154,000",,,,,,,,,,,,,,,,,,
,,,3,駐車場,駐車場,"1,663,200",,,,,,,,,,,,,,,,,,
,,,4,礼金・更新料,礼金・更新料,"739,000","21,556,200",,,,,,,,,,,,,,,,,
,,,5,(売上原価),(売上原価),,,,,,,,,,,,,,,,,,,
,,,6,管理費,管理費,"1,603,561",,,,,,,,,,,,,,,,,,
,,,7,合計,合計,"1,603,561","1,603,561",,,,,,,,,,,,,,,,,
,,,8,売上総利益,売上総利益,,"19,952,639",,,,,,,,,,,,,,,,,
,,,9,(販売費及び一般管理費),(販売費及び一般管理費),,,,,,,,,,,,,,,,,,,
,,,10,発送運搬費,発送運搬費,"2,760",,,,,,,,,,,,,,,,,,
,,,11,給料手当,給料手当,"3,420,000",,,,,,,,,,,,,,,,,,
,,,12,法定福利費,法定福利費,"111,480",,,,,,,,,,,,,,,,,,
,,,13,厚生費,厚生費,"140,670",,,,,,,,,,,,,,,,,,
,,,14,減価償却費,減価償却費,"6,762,891",,,,,,,,,,,,,,,,,,
,,,15,賃借料,賃借料,"2,160,000",,,,,,,,,,,,,,,,,,
,,,16,修繕費,修繕費,"71,500",,,,,,,,,,,,,,,,,,
,,,17,事務用品費,事務用品費,"23,760",,,,,,,,,,,,,,,,,,
,,,18,消耗品費,消耗品費,"16,276",,,,,,,,,,,,,,,,,,
,,,19,水道光熱費,水道光熱費,"124,590",,,,,,,,,,,,,,,,,,
,,,20,旅費交通費,旅費交通費,"156,670",,,,,,,,,,,,,,,,,,
,,,21,租税公課,租税公課,"750,700",,,,,,,,,,,,,,,,,,
,,,22,交際接待費,交際接待費,"365,361",,,,,,,,,,,,,,,,,,
,,,23,保険料,保険料,"213,464",,,,,,,,,,,,,,,,,,
,,,24,通信費,通信費,"203,302",,,,,,,,,,,,,,,,,,
,,,25,諸会費,諸会費,"41,000",,,,,,,,,,,,,,,,,,
,,,26,新聞図書費,新聞図書費,"52,800",,,,,,,,,,,,,,,,,,
,,,27,顧問料,顧問料,"352,000",,,,,,,,,,,,,,,,,,
,,,28,燃料費,燃料費,"374,701",,,,,,,,,,,,,,,,,,
,,,29,リース料,リース料,"39,039",,,,,,,,,,,,,,,,,,
,,,30,雑費,雑費,"276,786","15,659,750",,,,,,,,,,,,,,,,,
,,,31,営業利益,営業利益,,"4,292,889",,,,,,,,,,,,,,,,,
,,,32,(営業外利益),(営業外利益),,,,,,,,,,,,,,,,,,,
,,,33,受取利息,受取利息,801,,,,,,,,,,,,,,,,,,
,,,34,受取配当金,受取配当金,"2,189",,,,,,,,,,,,,,,,,,
,,,35,雑収入,雑収入,825,"3,815",,,,,,,,,,,,,,,,,
,,,36,(営業外費用),(営業外費用),,,,,,,,,,,,,,,,,,,
,,,37,支払利息・割引料,支払利息・割引料,"678,101","678,101",,,,,,,,,,,,,,,,,
,,,38,経常利益,経常利益,,"3,618,603",,,,,,,,,,,,,,,,,
,,,39,税引前当期利益,税引前当期利益,,"3,618,603",,,,,,,,,,,,,,,,,
,,,40,法人税等充当額,法人税等充当額,,"70,000",,,,,,,,,,,,,,,,,
,,,41,当期利益,当期利益,,"3,548,603",,,,,,,,,,,,,,,,,
