file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,amount_0,amount_1,,,,,,,,,,,,,,,,,
,,,1,(流動資産),(流動資産),,,,,,,,,,,,,,,,,,,
,,,2,現金,現金,"5,623,508",,,,,,,,,,,,,,,,,,
,,,3,普通預金,普通預金,"16,632,701",,,,,,,,,,,,,,,,,,
,,,4,売掛金,売掛金,"33,255,589",,,,,,,,,,,,,,,,,,
,,,5,商品,商品,"123,321,108",,,,,,,,,,,,,,,,,,
,,,6,未収人金,未収人金,"26,602",,,,,,,,,,,,,,,,,,
,,,7,前払費用,前払費用,"1,732,750",,,,,,,,,,,,,,,,,,
,,,8,預け金,預け金,"383,485",,,,,,,,,,,,,,,,,,
,,,9,流動資産合計,流動資産合計,,"180,975,743",,,,,,,,,,,,,,,,,
,,,10,(固定資産),(固定資産),,,,,,,,,,,,,,,,,,,
,,,11,(有形固定資産),(有形固定資産),,,,,,,,,,,,,,,,,,,
,,,12,建物付属設備,建物付属設備,"8,981,235",,,,,,,,,,,,,,,,,,
,,,13,車両運搬具,車両運搬具,"2,982,664",,,,,,,,,,,,,,,,,,
,,,14,工具器具備品,工具器具備品,"4,493,199",,,,,,,,,,,,,,,,,,
,,,15,有形固定資産合計,有形固定資産合計,"16,457,098",,,,,,,,,,,,,,,,,,
,,,16,(無形固定資産),(無形固定資産),,,,,,,,,,,,,,,,,,,
,,,17,その他の無形固定資産,その他の無形固定資産,"26,525,463",,,,,,,,,,,,,,,,,,
,,,18,無形固定資産合計,無形固定資産合計,"26,525,463",,,,,,,,,,,,,,,,,,
,,,19,(投資その他資産),(投資その他資産),,,,,,,,,,,,,,,,,,,
,,,20,出資金,出資金,"50,000",,,,,,,,,,,,,,,,,,
,,,21,美人保証金,美人保証金,"2,150,000",,,,,,,,,,,,,,,,,,
,,,22,投資その他資産合計,投資その他資産合計,"2,200,000",,,,,,,,,,,,,,,,,,
,,,23,固定資産合計,固定資産合計,,"45,182,561",,,,,,,,,,,,,,,,,
,,,24,資産合計,資産合計,,"226,158,304",,,,,,,,,,,,,,,,,
,,,25,(流動負債),(流動負債),,,,,,,,,,,,,,,,,,,
,,,26,買掛金,買掛金,"53,098,415",,,,,,,,,,,,,,,,,,
,,,27,短期借人金,短期借人金,"16,864,586",,,,,,,,,,,,,,,,,,
,,,28,未払費用,未払費用,"13,552,761",,,,,,,,,,,,,,,,,,
