file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,amount_0,金額,,,,,,,,,,,,,,,,,
,,,1,役員報酬,役員報酬,"7,800,000",,,,,,,,,,,,,,,,,,
,,,2,法定福利費,法定福利費,"67,500",,,,,,,,,,,,,,,,,,
,,,3,福利厚生費,福利厚生費,"68,618",,,,,,,,,,,,,,,,,,
,,,4,採用教育費,採用教育費,"395,910",,,,,,,,,,,,,,,,,,
,,,5,広告宣伝費,広告宣伝費,"3,910,910",,,,,,,,,,,,,,,,,,
,,,6,接待交際費,接待交際費,"4,089,563",,,,,,,,,,,,,,,,,,
,,,7,会議費,会議費,"16,543",,,,,,,,,,,,,,,,,,
,,,8,旅費交通費,旅費交通費,"1,622,658",,,,,,,,,,,,,,,,,,
,,,9,通信費,通信費,"94,472",,,,,,,,,,,,,,,,,,
,,,10,消耗品費,消耗品費,"413,499",,,,,,,,,,,,,,,,,,
,,,11,修繕費,修繕費,"25,000",,,,,,,,,,,,,,,,,,
,,,12,諸会費,諸会費,"1,250",,,,,,,,,,,,,,,,,,
,,,13,支払手形料,支払手形料,"749,835",,,,,,,,,,,,,,,,,,
,,,14,地代家賃,地代家賃,"2,336,400",,,,,,,,,,,,,,,,,,
,,,15,租税公課,租税公課,"166,610",,,,,,,,,,,,,,,,,,
,,,16,支払報酬料,支払報酬料,"1,166,370",,,,,,,,,,,,,,,,,,
,,,17,減価償却費,減価償却費,"44,809",,,,,,,,,,,,,,,,,,
,,,18,雑費,雑費,"3,806",,,,,,,,,,,,,,,,,,
,,,19,貸倒引当金戻入額(販),貸倒引当金戻入額(販),"99,000",,,,,,,,,,,,,,,,,,
,,,20,経営指導料,経営指導料,"22,043,786",,,,,,,,,,,,,,,,,,
,,,21,販売費及び一般管理費合計,販売費及び一般管理費合計,,"45,116,539",,,,,,,,,,,,,,,,,
