file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,amount_0,amount_1,,,,,,,,,,,,,,,,,
,,,1,(労務費),(労務費),,,,,,,,,,,,,,,,,,,
,,,2,給料手当,給料手当,"32,191,264",,,,,,,,,,,,,,,,,,
,,,3,雑給,雑給,"29,426,934",,,,,,,,,,,,,,,,,,
,,,4,法定福利費,法定福利費,"8,817,949",,,,,,,,,,,,,,,,,,
,,,5,[製]人材派遣費,[製]人材派遣費,"6,898,276",,,,,,,,,,,,,,,,,,
,,,6,労務費合計,労務費合計,,"77,334,423",,,,,,,,,,,,,,,,,
,,,7,(製造経費),(製造経費),,,,,,,,,,,,,,,,,,,
,,,8,旅費交通費,旅費交通費,"7,147,658",,,,,,,,,,,,,,,,,,
,,,9,通信費,通信費,"25,649",,,,,,,,,,,,,,,,,,
,,,10,消耗品費,消耗品費,"910,617",,,,,,,,,,,,,,,,,,
,,,11,修繕費,修繕費,"149,538",,,,,,,,,,,,,,,,,,
,,,12,水道光熱費,水道光熱費,"43,749",,,,,,,,,,,,,,,,,,
,,,13,減価償却費,減価償却費,"921,028",,,,,,,,,,,,,,,,,,
,,,14,地代家賃,地代家賃,"9,029,938",,,,,,,,,,,,,,,,,,
,,,15,賃借料,賃借料,"54,546",,,,,,,,,,,,,,,,,,
,,,16,租税公課,租税公課,"16,200",,,,,,,,,,,,,,,,,,
,,,17,保険料,保険料,"216,341",,,,,,,,,,,,,,,,,,
,,,18,雑費,雑費,"37,526",,,,,,,,,,,,,,,,,,
,,,19,支払手形料,支払手形料,"1,102,677",,,,,,,,,,,,,,,,,,
,,,20,広告宣伝費,広告宣伝費,"7,710,066",,,,,,,,,,,,,,,,,,
,,,21,業務委託費,業務委託費,"221,259,196",,,,,,,,,,,,,,,,,,
,,,22,[製]リース料,[製]リース料,"1,016,000",,,,,,,,,,,,,,,,,,
,,,23,製造経費合計,製造経費合計,,"249,640,729",,,,,,,,,,,,,,,,,
,,,24,総製造費用,総製造費用,,"326,975,152",,,,,,,,,,,,,,,,,
,,,25,合計,合計,,"326,975,152",,,,,,,,,,,,,,,,,
,,,26,当期製品製造原価,当期製品製造原価,,"326,975,152",,,,,,,,,,,,,,,,,
