file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)メイホウ,仙台市青葉区春日町7-23,143605,売上代,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)明電舎,東京都品川区大崎2丁目1-1,5240,売上代,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)ユアテック,仙台市青葉区大町2丁目2-25,6754292,売上代,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)陸東電設工業,仙台市泉区八乙女4丁目14-17,704550,売上代,,,,,,,,,,,,,,,
,,,5,〃,〃,ヨシモトポール(株),東京都千代田区有楽町1-10-1,22770,売上代,,,,,,,,,,,,,,,
,,,6,〃,〃,(株)ワールド避雷工業,仙台市太白区鈎取本町1丁目10-1,325908,売上代,,,,,,,,,,,,,,,
,,,7,〃,〃,みやぎ金属工業(有),宮城郡利府町しらかし台6-6-4,68970,売上代,,,,,,,,,,,,,,,
,,,8,〃,〃,(有)三喜建設工業,仙台市泉区長命ヶ丘長命ヶ丘4-29-6,-9072,売上代金前受分,,,,,,,,,,,,,,,
,,,9,〃,〃,ワーテック,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,10,〃,〃,三幸技研,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,11,〃,〃,伊藤計装,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,12,〃,〃,東北製函工業所,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,13,〃,〃,本荘電気工事,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,14,〃,〃,弥生力計,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,15,〃,〃,美友電気,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,16,〃,〃,清電社,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,17,〃,〃,ハリマ電気,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,18,〃,〃,チバ商事,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,19,〃,〃,協立特殊工事,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,20,〃,〃,佐進鉄工所,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,21,〃,〃,ハマ企画,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,22,〃,〃,福増工業,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,23,〃,〃,池田鉄工,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,24,〃,〃,若林建工,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,25,〃,〃,斎藤設備,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,26,〃,〃,仙台小松アルミ,ー,1,(備忘価額)売上代,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
