ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,244128,202507,(売上高),(売上高),,,,,,,,,,,,,
,,2,000,244128,202507,売上高,売上高,,"457,878,149","457,878,149",,,,,,,,,,
,,3,000,244128,202507,売上高合計,売上高合計,,,,"457,878,149","457,878,149",,,,,,,,
,,4,000,244128,202507,(売上原価),(売上原価),,,,,,,,,,,,,
,,5,000,244128,202507,期首商品棚卸高,期首商品棚卸高,,"4,063,569","4,063,569",,,,,,,,,,
,,6,000,244128,202507,合計,合計,,"4,063,569","4,063,569",,,,,,,,,,
,,7,000,244128,202507,他勘定振替高,他勘定振替高,,"1,430,720","1,430,720",,,,,,,,,,
,,8,000,244128,202507,期末商品棚卸高,期末商品棚卸高,,"844,849","844,849",,,,,,,,,,
,,9,000,244128,202507,商品売上原価,商品売上原価,,,,"1,788,000","1,788,000",,,,,,,,
,,10,000,244128,202507,当期製品製造原価,当期製品製造原価,,"378,433,480","378,433,480",,,,,,,,,,
,,11,000,244128,202507,合計,合計,,"378,433,480","378,433,480",,,,,,,,,,
,,12,000,244128,202507,製品売上原価,製品売上原価,,,,"378,433,480","378,433,480",,,,,,,,
,,13,000,244128,202507,売上原価,売上原価,,,,"380,221,480","380,221,480",,,,,,,,
,,14,000,244128,202507,売上総利益金額,売上総利益金額,,,,"77,656,669","77,656,669",,,,,,,,
,,15,000,244128,202507,(販売費及び一般管理費),(販売費及び一般管理費),,,,,,,,,,,,,
,,16,000,244128,202507,販売費及び一般管理費合計,販売費及び一般管理費合計,,,,"45,116,539","45,116,539",,,,,,,,
,,17,000,244128,202507,営業利益金額,営業利益金額,,,,"32,540,130","32,540,130",,,,,,,,
,,18,000,244128,202507,(営業外収益),(営業外収益),,,,,,,,,,,,,
,,19,000,244128,202507,受取利息,受取利息,,"98,901","98,901",,,,,,,,,,
,,20,000,244128,202507,受取配当金,受取配当金,,"1,000","1,000",,,,,,,,,,
,,21,000,244128,202507,雑収入,雑収入,,"352,512","352,512",,,,,,,,,,
,,22,000,244128,202507,営業外収益合計,営業外収益合計,,,,"452,413","452,413",,,,,,,,
,,23,000,244128,202507,(営業外費用),(営業外費用),,,,,,,,,,,,,
,,24,000,244128,202507,支払利息,支払利息,,"507,665","507,665",,,,,,,,,,
,,25,000,244128,202507,雑損失,雑損失,,"50,473","50,473",,,,,,,,,,
,,26,000,244128,202507,営業外費用合計,営業外費用合計,,,,"558,138","558,138",,,,,,,,
,,27,000,244128,202507,経常利益金額,経常利益金額,,,,"32,434,405","32,434,405",,,,,,,,
,,28,000,244128,202507,税引前当期純利益金額,税引前当期純利益金額,,,,"32,434,405","32,434,405",,,,,,,,
,,29,000,244128,202507,法人税等,法人税等,,,,"410,328","410,328",,,,,,,,
,,30,000,244128,202507,当期純利益金額,当期純利益金額,,,,"32,024,077","32,024,077",,,,,,,,
