file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,金額,,,,,,,,,,,,,,,,,,
,,,1,(流動資産),(流動資産),"(39,125,448)",,,,,,,,,,,,,,,,,,
,,,2,現金,現金,"29,043,193",,,,,,,,,,,,,,,,,,
,,,3,預金,預金,"9,075,422",,,,,,,,,,,,,,,,,,
,,,4,未収入金,未収入金,"494,919",,,,,,,,,,,,,,,,,,
,,,5,立替金,立替金,"92,914",,,,,,,,,,,,,,,,,,
,,,6,前払金,前払金,"419,000",,,,,,,,,,,,,,,,,,
,,,7,(固定資産),(固定資産),"(125,246,292)",,,,,,,,,,,,,,,,,,
,,,8,(有形固定資産),(有形固定資産),"(117,608,013)",,,,,,,,,,,,,,,,,,
,,,9,建物,建物,"60,946,987",,,,,,,,,,,,,,,,,,
,,,10,構築物,構築物,"946,103",,,,,,,,,,,,,,,,,,
,,,11,車輌運搬具,車輌運搬具,2,,,,,,,,,,,,,,,,,,
,,,12,器具備品,器具備品,"432,421",,,,,,,,,,,,,,,,,,
,,,13,土地,土地,"55,282,500",,,,,,,,,,,,,,,,,,
,,,14,(無形固定資産),(無形固定資産),"(1,815,778)",,,,,,,,,,,,,,,,,,
,,,15,電話加入権,電話加入権,"270,000",,,,,,,,,,,,,,,,,,
,,,16,ソフトウエア,ソフトウエア,"342,084",,,,,,,,,,,,,,,,,,
,,,17,水道施設利用権,水道施設利用権,"1,203,694",,,,,,,,,,,,,,,,,,
,,,18,(投資その他の資産),(投資その他の資産),"(5,822,501)",,,,,,,,,,,,,,,,,,
,,,19,投資有価証券,投資有価証券,"210,000",,,,,,,,,,,,,,,,,,
,,,20,差入保証金,差入保証金,"642,830",,,,,,,,,,,,,,,,,,
,,,21,保険積立金,保険積立金,"4,289,234",,,,,,,,,,,,,,,,,,
,,,22,長期前払費用,長期前払費用,"680,437",,,,,,,,,,,,,,,,,,
,,,23,資産の部合計,資産の部合計,"164,371,740",,,,,,,,,,,,,,,,,,
,,,24,(流動負債),(流動負債),"(8,861,477)",,,,,,,,,,,,,,,,,,
,,,25,未払金,未払金,"2,310,412",,,,,,,,,,,,,,,,,,
,,,26,前受金,前受金,"2,248,760",,,,,,,,,,,,,,,,,,
,,,27,預り金,預り金,"4,302,305",,,,,,,,,,,,,,,,,,
,,,28,(固定負債),(固定負債),"(70,345,543)",,,,,,,,,,,,,,,,,,
,,,29,預り保証金,預り保証金,"5,455,200",,,,,,,,,,,,,,,,,,
,,,30,長期借入金,長期借入金,"64,890,343",,,,,,,,,,,,,,,,,,
,,,31,負債の部合計,負債の部合計,"79,207,020",,,,,,,,,,,,,,,,,,
,,,32,(株主資本),(株主資本),"(85,164,720)",,,,,,,,,,,,,,,,,,
,,,33,(資本金),(資本金),"(5,000,000)",,,,,,,,,,,,,,,,,,
,,,34,資本金,資本金,"5,000,000",,,,,,,,,,,,,,,,,,
,,,35,(利益剰余金),(利益剰余金),"(80,164,720)",,,,,,,,,,,,,,,,,,
,,,36,別途積立金,別途積立金,"45,500,000",,,,,,,,,,,,,,,,,,
,,,37,繰越利益剰余金,繰越利益剰余金,"34,664,720",,,,,,,,,,,,,,,,,,
,,,38,純資産の部合計,純資産の部合計,"85,164,720",,,,,,,,,,,,,,,,,,
,,,39,負債・純資産の部合計,負債・純資産の部合計,"164,371,740",,,,,,,,,,,,,,,,,,
